type,street,city,state,zip_code,beds,total_baths,sqft,year_built,sold_price,sold_date,county,stories,parking_garage
SINGLE_FAMILY,7332 Continuum Dr,Reno,NV,89506,3,2,1943,2020,507000,7/8/2024,Washoe,1,2
SINGLE_FAMILY,1025 Virbel Ln,Reno,NV,89502,2,1,864,1984,315000,7/5/2024,Washoe,1,0
SINGLE_FAMILY,3359 W Plumb Ln,Reno,NV,89509,3,2,2268,1954,895000,7/11/2024,Washoe,1,2
SINGLE_FAMILY,4668 Jacmel Ct,Sparks,NV,89436,4,3,3284,2014,925000,7/3/2024,Washoe,1,3
SINGLE_FAMILY,7215 Cheltenham Way,Reno,NV,89502,3,2.5,2844,1995,883500,7/3/2024,Washoe,1,3
SINGLE_FAMILY,620 Steeplechase Ct,Reno,NV,89521,5,3.5,3564,2004,970000,7/2/2024,Washoe,2,3
SINGLE_FAMILY,642 Rancho via Dr,Sparks,NV,89434,4,3.5,2332,1973,515000,7/5/2024,Washoe,2,2
CONDOS,9900 Wilbur May Pkwy,Reno,NV,89521,2,2,1554,2004,399000,7/10/2024,Washoe,2,2
SINGLE_FAMILY,995 Skyline Blvd,Reno,NV,89509,3,2,2173,1956,645000,7/2/2024,Washoe,1,3
SINGLE_FAMILY,3408 Eagle Ridge Ct,Reno,NV,89509,6,4.5,3900,2005,1500000,7/2/2024,Washoe,2,3
SINGLE_FAMILY,1340 Russell Way,Sparks,NV,89431,4,1.5,1210,1957,430000,7/3/2024,Washoe,1,2
SINGLE_FAMILY,2885 Watervale Dr,Sparks,NV,89436,3,2.5,2209,2001,550000,7/10/2024,Washoe,2,2
CONDOS,1905 Sea Horse Rd,Reno,NV,89521,2,2,1310,2018,410000,7/3/2024,Washoe,2,1
SINGLE_FAMILY,30 Winter Storm Ct,Sparks,NV,89436,3,3,1423,1991,477000,7/11/2024,Washoe,2,2
SINGLE_FAMILY,13301 Mount Baldy St,Reno,NV,89506,3,1,1192,1958,300000,7/11/2024,Washoe,1,1
SINGLE_FAMILY,1548 Diamond Country Dr,Reno,NV,89521,3,2,2063,1997,610000,7/2/2024,Washoe,1,3
TOWNHOMES,1159 Wagon Wheel Cir,Reno,NV,89503,3,2,1194,1977,385000,7/11/2024,Washoe,1,2
SINGLE_FAMILY,1991 Mountain Vista Way,Reno,NV,89519,3,2.5,1757,1987,750000,7/3/2024,Washoe,2,2
SINGLE_FAMILY,2130 Keystone Ave,Reno,NV,89503,3,2,1528,1995,535000,7/10/2024,Washoe,1,2
SINGLE_FAMILY,1035 York Way,Sparks,NV,89431,3,1,1120,1963,400000,7/11/2024,Washoe,1,1
SINGLE_FAMILY,7124 Owl View Dr,Sparks,NV,89436,4,2,1953,2024,549950,7/5/2024,Washoe,1,3
SINGLE_FAMILY,15190 N Timberline Dr,Reno,NV,89511,6,6,7034,2002,3400000,7/2/2024,Washoe,2,6
SINGLE_FAMILY,2160 Heavenly View Trl,Reno,NV,89523,4,2.5,2555,2008,570000,7/11/2024,Washoe,2,2
SINGLE_FAMILY,3200 W Plumb Ln,Reno,NV,89509,3,1.5,1543,1956,571000,7/11/2024,Washoe,1,2
SINGLE_FAMILY,1955 Topeka Cir,Sparks,NV,89434,3,2,1642,1987,480000,7/5/2024,Washoe,1,2
SINGLE_FAMILY,1061 Glen Meadow Dr,Sparks,NV,89434,3,2,1616,1975,435000,7/10/2024,Washoe,1,2
MOBILE,135 S Fork Dr,Sun Valley,NV,89433,3,2,1152,1982,362000,7/5/2024,Washoe,1,0
SINGLE_FAMILY,2691 Starr Meadows Loop,Reno,NV,89519,4,2.5,2159,1992,740000,7/3/2024,Washoe,2,3
SINGLE_FAMILY,1318 S Arlington Ave,Reno,NV,89509,1,1,1016,1926,515000,7/2/2024,Washoe,1,1
SINGLE_FAMILY,4524 Trenton Ct,Sparks,NV,89436,4,3,2325,1990,537000,7/11/2024,Washoe,2,3
SINGLE_FAMILY,7480 Misty Springs Dr,Sparks,NV,89436,2,2.5,2461,2022,782495,7/2/2024,Washoe,1,3
CONDOS,10813 Farmstead Ln,Reno,NV,89521,2,2,1218,2023,439245,7/3/2024,Washoe,0,0
SINGLE_FAMILY,12102 Waving Wheat Ct,Reno,NV,89521,2,2,1668,2021,715000,7/8/2024,Washoe,1,2
SINGLE_FAMILY,6682 Magical Dr,Sparks,NV,89436,4,3.5,2987,2005,725000,7/3/2024,Washoe,2,3
TOWNHOMES,3607 Skyline Blvd,Reno,NV,89509,2,2.5,1484,1995,530000,7/3/2024,Washoe,2,2
SINGLE_FAMILY,2050 Half Dome Dr,Reno,NV,89521,4,3,1979,2015,615000,7/2/2024,Washoe,2,2
MOBILE,2740 Dahlia Way,Reno,NV,89512,2,2,1152,1984,333000,7/2/2024,Washoe,1,0
CONDOS,3855 E Leonesio Dr,Reno,NV,89512,2,1,960,1983,210000,7/2/2024,Washoe,1,0
CONDOS,9900 Wilbur May Pkwy,Reno,NV,89521,2,2,1554,2003,445000,7/2/2024,Washoe,2,2
